Match_no,Match_Between,Team_Innings,Batsman_Name,Batting_Position,Runs,Balls,4s,6s,Strike_Rate,out/not_out,match_id,Boundary_runs
1,England vs New Zealand,England,Jonny Bairstow,1,33,35,4,1,94.3,out,18020,22
1,England vs New Zealand,England,Dawid Malan,2,14,24,2,0,58.3,out,18020,8
1,England vs New Zealand,England,Joe Root,3,77,86,4,1,89.5,out,18020,22
1,England vs New Zealand,England,Harry Brook,4,25,16,4,1,156.3,out,18020,22
1,England vs New Zealand,England,Moeen Ali,5,11,17,1,0,64.7,out,18020,4
1,England vs New Zealand,England,Jos Buttler,6,43,42,2,2,102.4,out,18020,20
1,England vs New Zealand,England,Liam Livingstone,7,20,22,3,0,90.9,out,18020,12
1,England vs New Zealand,England,Sam Curran,8,14,19,0,0,73.7,out,18020,0
1,England vs New Zealand,England,Chris Woakes,9,11,12,1,0,91.7,out,18020,4
1,England vs New Zealand,England,Adil Rashid,10,15,13,0,1,115.4,not out,18020,6
1,England vs New Zealand,England,Mark Wood,11,13,14,0,0,92.9,not out,18020,0
1,England vs New Zealand,New Zealand,Devon Conway,1,152,121,19,3,125.6,not out,18020,94
1,England vs New Zealand,New Zealand,Will Young,2,0,1,0,0,0,out,18020,0
1,England vs New Zealand,New Zealand,Rachin Ravindra,3,123,96,11,5,128.1,not out,18020,74
2,Pakistan vs Netherlands,Pakistan,Fakhar Zaman,1,12,15,3,0,80,out,18021,12
2,Pakistan vs Netherlands,Pakistan,Imam-ul-Haq,2,15,19,2,0,78.9,out,18021,8
2,Pakistan vs Netherlands,Pakistan,Babar Azam,3,5,18,0,0,27.8,out,18021,0
2,Pakistan vs Netherlands,Pakistan,Mohammad Rizwan,4,68,75,8,0,90.7,out,18021,32
2,Pakistan vs Netherlands,Pakistan,Saud Shakeel,5,68,52,9,1,130.8,out,18021,42
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,6,9,11,1,0,81.8,out,18021,4
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,7,39,43,4,0,90.7,out,18021,16
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,8,32,34,2,1,94.1,out,18021,14
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,9,0,1,0,0,0,out,18021,0
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,10,13,12,2,0,108.3,not out,18021,8
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,11,16,14,2,1,114.3,out,18021,14
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,1,52,67,4,1,77.6,out,18021,22
2,Pakistan vs Netherlands,Netherlands,Max O'Dowd,2,5,12,1,0,41.7,out,18021,4
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,3,17,21,3,0,81,out,18021,12
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,4,67,68,6,2,98.5,out,18021,36
2,Pakistan vs Netherlands,Netherlands,Teja Nidamanuru,5,5,9,1,0,55.6,out,18021,4
2,Pakistan vs Netherlands,Netherlands,Scott Edwards,6,0,2,0,0,0,out,18021,0
2,Pakistan vs Netherlands,Netherlands,Saqib Zulfiqar,7,10,18,1,0,55.6,out,18021,4
2,Pakistan vs Netherlands,Netherlands,Roelof van der Merwe,8,4,7,0,0,57.1,out,18021,0
2,Pakistan vs Netherlands,Netherlands,Logan van Beek,9,28,28,3,1,100,not out,18021,18
2,Pakistan vs Netherlands,Netherlands,Aryan Dutt,10,1,2,0,0,50,out,18021,0
2,Pakistan vs Netherlands,Netherlands,Paul van Meekeren,11,7,12,1,0,58.3,out,18021,4
3,Afghanistan vs Bangladesh,Afghanistan,Rahmanullah Gurbaz,1,47,62,4,1,75.8,out,23008,22
3,Afghanistan vs Bangladesh,Afghanistan,Ibrahim Zadran,2,22,25,3,1,88,out,23008,18
3,Afghanistan vs Bangladesh,Afghanistan,Rahmat Shah,3,18,25,1,0,72,out,23008,4
